Ragam,Shadja,Inversion,Accidental
Bhavapriya,Leo,Venus_Saturn,+6
Chakravakam,Taurus,ChironSun_Mercury,-6
Chalanata,Sagittarius,Mercury_Pallas,+2+6
Chalanata,Sagittarius,Venus_Sun,+2+6
Chalanata,Taurus,Mercury_Pallas,+3+4+6
Chalanata,Taurus,Venus_Sun,+3+4+6
Charukesi,Leo,Sun_Sun,+4+5
Charukesi,Libra,Sun_Sun,+4-7
Charukesi,Pisces,Sun_Sun,+1
Charukesi,Sagittarius,Sun_Sun,-6-7
Charukesi,Taurus,Sun_Sun,-3
Chitrambhari,Cancer,Pluto_Mars,+2
Chitrambhari,Cancer,Pluto_Sun,+2
Chitrambhari,Taurus,Pluto_Mars,+1+3+4
Dharmavati,Cancer,Saturn_CeresJupiter,-6
Dhatuvardhini,Cancer,Neptune_Sun,-2+5
Dhatuvardhini,Cancer,Venus_Mars,-2+5
Dhatuvardhini,Taurus,Neptune_Sun,+1-3+4+6
Dhatuvardhini,Taurus,Venus_Mars,+1-3+4+6
Dhavalambari,Leo,Venus_Neptune,-2+5+6
Dhavalambari,Taurus,Venus_Neptune,+1-3-4-6
Dhenuka,Leo,Mercury_ChironMercury,+2
Dhenuka,Leo,Mercury_Neptune,+2
Dhenuka,Sagittarius,Mercury_ChironMercury,-2-3-6
Dhenuka,Sagittarius,Mercury_Neptune,-2-3-6
Divyamani,Cancer,Pluto_Mars,+2-5-6
Divyamani,Leo,Pluto_Mars,x1+2+6
Gamanasrama,Cancer,Vesta_Mars,-5
Ganamurti,Leo,Mercury_Mercury,+2-5
Gangeyabhusani,Pisces,Mercury_Pallas,+1+5+7
Gangeyabhusani,Pisces,Neptune_Sun,+1+5+7
Gangeyabhusani,Sagittarius,Mercury_Pallas,+2-6
Gangeyabhusani,Sagittarius,Neptune_Sun,+2-6
Gangeyabhusani,Taurus,Mercury_Pallas,-3+4+6
Gangeyabhusani,Taurus,Neptune_Sun,-3+4+6
Gavambodhi,Leo,Venus_Neptune,-2+6
Gayakapriya,Leo,Pallas_Mercury,-2+5
Gayakapriya,Leo,Sun_Neptune,-2+5
Gayakapriya,Pisces,Pallas_Mercury,+1-7-5
Gayakapriya,Pisces,Sun_Neptune,+1-7-5
Gayakapriya,Taurus,Pallas_Mercury,-3-4-6
Gayakapriya,Taurus,Sun_Neptune,-3-4-6
Gourimanohari,Cancer,Mercury_Jupiter,-6-7
Gourimanohari,Leo,Mercury_Jupiter,+1+2+4
Gourimanohari,Libra,Mercury_Jupiter,+1
Gourimanohari,Pisces,Mercury_Jupiter,+4+5
Gourimanohari,Sagittarius,Mercury_Jupiter,-3
Gourimanohari,Taurus,Mercury_Jupiter,+4-7
Hanumatodi,Leo,Venus_Mercury,=8
Harikambhoji,Taurus,Sun_Moon,=8
Hatakambari,Sagittarius,Mercury_Mercury,-2+6
Hatakambari,Taurus,Mercury_Mercury,+3+4-6
Hemavati,Libra,Saturn_Jupiter,+5
Jalarnavam,Leo,Moon_Saturn,-5+6
Janya,Leo,Juno_Mars,-2-5-6
Janya,Leo,Juno_Mars,+2-5-6
Janya,Leo,Mercury_Mercury,+2-5-6
Janya,Leo,Mercury_Pallas,+2-6
Janya,Leo,Mercury_Venus,-2-5-6
Janya,Leo,Pallas_Mercury,-2-5-6
Janya,Leo,Pallas_Mercury,+2-5-6
Janya,Leo,Sun_Mercury,+1-6
Janya,Leo,Sun_Mercury,-5-6
Janya,Leo,Sun_Moon,-2-5-6
Janya,Leo,Sun_Uranus,-6
Janya,Leo,Venus_Mars,-2-6
Janya,Leo,Venus_Mars,+2-6
Janya,Leo,Venus_Neptune,+1-6
Janya,Leo,Venus_Neptune,-2-6
Janya,Leo,Venus_Uranus,-6
Janya,Libra,Chiron_Mercury,-3-4-5
Janya,Libra,Chiron_Venus,+1-3-4-5
Janya,Libra,MercuryChiron_Mercury,+1-3-4-5
Janya,Libra,Mercury_Mercury,+1+7-3-4-5
Janya,Libra,Mercury_Venus,+1-3-4-5
Janya,Libra,Pluto_Mars,+1+7-3-4-5
Janya,Libra,Saturn_Jupiter,-5
Janya,Libra,Sun_Jupiter,-5
Janya,Libra,Sun_Moon,-3-4-5
Janya,Libra,Titan_Moon,-3-4-5
Janya,Libra,Vesta_Mars,+1-3-4-5
Janya,Pisces,Mercury_Pallas,-2+5
Janya,Pisces,Mercury_Venus,-2-5
Janya,Pisces,Moon_Uranus,-2
Janya,Pisces,Neptune_Sun,-2-5
Janya,Pisces,Neptune_Sun,-2+5
Janya,Pisces,Saturn_Mars,-2-5
Janya,Pisces,Saturn_Uranus,-2
Janya,Pisces,Sun_Sun,-2
Janya,Pisces,Sun_Sun,-2-5
Janya,Sagittarius,MercuryChiron_Mercury,-2-3-4
Janya,Sagittarius,Mercury_Jupiter,-3-4
Janya,Sagittarius,Mercury_Pallas,-2-3-4+6
Janya,Sagittarius,Mercury_Pallas,-3-4+6
Janya,Sagittarius,Mercury_Venus,-3-4
Janya,Sagittarius,Neptune_Jupiter,-3-4
Janya,Sagittarius,Neptune_Mars,-2-3-4
Janya,Sagittarius,Neptune_Mercury,-2-3-4
Janya,Sagittarius,Pluto_Jupiter,-3-4+6
Janya,Sagittarius,Pluto_Mars,-2-3-4+6
Janya,Sagittarius,Pluto_Mars,-3-4+6
Janya,Sagittarius,Saturn_Mars,-3-4
Janya,Sagittarius,Venus_Uranus,-2-3-4+6
Jhalavarali,Leo,Juno_Mars,+2+6-5
Jhankaradhwani,Libra,Jupiter_Sun,-1-7
Jhankaradhwani,Pisces,Jupiter_Sun,-5
Jyotiswarupini,Pisces,Saturn_Uranus,+1+2+7
Jyotiswarupini,Pisces,Venus_Uranus,+1+2+7
Jyotiswarupini,Taurus,Venus_Uranus,+1+6-3
Kamavardhini,Cancer,Neptune_Juno,-2-5
Kamavardhini,Cancer,Venus_Mars,-2-5
Kamavardhini,Leo,Venus_Mars,+2+5+6
Kamavardhini,Taurus,Neptune_Juno,+1-3+4-6
Kamavardhini,Taurus,Venus_Mars,+1-3+4-6
Kanakangi,Leo,Pallas_Mercury,-2-5
Kanakangi,Leo,Sun_Venus,-2-5
Kanakangi,Pisces,Pallas_Mercury,-1-5-7
Kanakangi,Pisces,Sun_Venus,-1-5-7
Kanakangi,Taurus,Pallas_Mercury,-3-4-6bb7
Kanakangi,Taurus,Sun_Venus,-3-4-6bb7
Kanakang,Libra,Pallas_Mercury,-3-4-7-1
Kanakang,Libra,Sun_Venus,-3-4-7-1
Kantamani,Pisces,Saturn_Sun,+1+2-5
Kantamani,Taurus,Saturn_Sun,+1-3-4
Keeravani,Pisces,Mercury_ChironSun,+5
Kharaharapriya,Libra,Jupiter_Jupiter,=8
Kokilapriya,Leo,ChironMercury_ChironMercury,+1+2
Kokilapriya,Libra,ChironMercury_ChironMercury,+1-3
Kokilapriya,Sagittarius,MercuryChiron_ChironMercury,-2-3
Kokilapriya,Taurus,ChironMercury_ChironMercury,+4-6-7
Kosalam,Cancer,Neptune_Mars,+5
Latangi,Cancer,Pluto_Sun,-2
Latangi,Cancer,Saturn_Sun,-2
Latangi,Taurus,Saturn_Sun,+1-3+4
Manavati,Leo,ChironMercury_Mercury,+1+2-5
Mararanjani,Cancer,Uranus_Sun,-2-7bb3
Mararanjani,Pisces,Uranus_Sun,+1-5
Mararanjani,Taurus,Uranus_Sun,-3-4
Mayamalavagowla,Leo,Mercury_Mercury,+2+5
Mayamalavagowla,Taurus,Mercury_Mercury,-3+4-6
Mechakalyani,Cancer,Saturn_Mars,=8
Naganandini,Sagittarius,Mercury_Moon,+6
Naganandini,Sagittarius,Mercury_Sun,+6
Namanarayani,Cancer,Venus_Uranus,-2-3-5
Namanarayani,Leo,Venus_Uranus,+5+6
Nasikabhusani,Cancer,Pluto_Mars,-3+5
Nasikabhusani,Pisces,CeresJupiter_Saturn,+2+4-7
Nasikabhusani,Taurus,Pluto_Mars,+1+6
Nasikabhusani,Taurus,Saturn_Jupiter,+1+6
Natabhairavi,Pisces,Moon_Sun,=8
Natakapriya,Leo,Jupiter_Mercury,+1
Natakapriya,Libra,Jupiter_Mercury,-3
Natakapriya,Pisces,Jupiter_Mercury,+4-7
Natakapriya,Taurus,Jupiter_Mercury,-6-7
Navaneetam,Leo,Ceres_Saturn,+1+6-5
Navaneetam,Leo,Titan_Jupiter,+1+6-5
Navaneetam,Leo,Titan_Moon,+1+6-5
Navaneetam,Libra,Ceres_Saturn,-3-4+5
Navaneetam,Libra,Titan_Jupiter,-3-4+5
Navaneetam,Libra,Titan_Moon,-3-4+5
Navaneetam,Taurus,Ceres_Saturn,+1-6bb7
Neetimati,Cancer,Pluto_Jupiter,+2-6
Neetimati,Cancer,Saturn_Ceres,+2-6
Neetimati,Libra,Pluto_Jupiter,+1+5+7
Neetimati,Libra,Saturn_Ceres,+1+5+7
Neetimati,Taurus,Pluto_Jupiter,+1+3+4-7
Neetimati,Taurus,Saturn_Ceres,+1+3+4-7
Pavani,Leo,Vesta_Mars,-5+1+2+6
Ragavardhini,Pisces,Sun_Uranus,+1+7
Ragavardhini,Taurus,Sun_Uranus,-3+6
Raghupriya,Leo,Pluto_Mars,x1+2+6-5
Ramapriya,Cancer,CeresSun_Saturn,-3-5
Ramapriya,Cancer,Titan_Moon,-3-5
Ramapriya,Sagittarius,Titan_Moon,-2-7+4
Ramapriya,Taurus,CeresSun_Saturn,+1-6
Ramapriya,Taurus,Titan_Moon,+1-6
Rasikapriya,Cancer,Pluto_Mars,+2+5
Rasikapriya,Taurus,Pluto_Mars,+1+3+4+6
Ratnangi,Leo,Moon_Mercury,-5
Rishabhapriya,Cancer,Saturn_Sun,-2-3
Rishabhapriya,Taurus,Saturn_Sun,+1-3
Rupavati,Libra,Mercury_ChironMercury,+1+7-3
Rupavati,Sagittarius,Mercury_ChironMercury,-2-3+6
Salagam,Leo,Juno_Mars,-2-5+6
Sankarabharanam,Sagittarius,Mercury_Venus,=8
Sarasangi,Sagittarius,Mercury_Sun,-6
Senavati,Leo,Venus_Neptune,-2
Shadvidhamargini,Leo,CeresJupiter_Saturn,+1+6
Shadvidhamargini,Libra,CeresJupiter_Saturn,-3+5
Shadvidhamargini,Libra,Titan_Jupiter,-3+5
Shadvidhamargini,Taurus,Titan_Jupiter,+1-6-7
Shanmukhapriya,Pisces,Saturn_Sun,+2
Shanmukhapriya,Pisces,Saturn_Uranus,+2
Shanmukhapriya,Taurus,Saturn_Sun,+1-3-7
Simhendramadhyamam,Cancer,Saturn_CeresSun,-2-6
Simhendramadhyamam,Pisces,Saturn_CeresSun,+2+5
Simhendramadhyamam,Taurus,Saturn_CeresSun,+1+4-3-7
Subhapantuvarali,Cancer,Venus_Mars,-2-5-6
Subhapantuvarali,Leo,Neptune_Juno,+2+6
Subhapantuvarali,Leo,Venus_Mars,+2+6
Subhapantuvarali,Pisces,Neptune_Juno,+2+5-7
Subhapantuvarali,Pisces,Venus_Mars,+2+5-7
Sucharitra,Pisces,Neptune_Mars,+1+2+7-5
Sucharitra,Pisces,Venus_Neptune,+1+2+7-5
Sucharitra,Taurus,Neptune_Mars,-3-4+1+6
Sucharitra,Taurus,Venus_Neptune,-3-4+1+6
Sulini,Sagittarius,Neptune_Mercury,+2
Sulini,Sagittarius,Neptune_Venus,+2
Sulini,Taurus,Neptune_Venus,+4+6
Suryakantam,Sagittarius,MercuryChiron_Mercury,-2
Suryakantam,Sagittarius,Neptune_Mercury,-2
Suryakantam,Taurus,ChironMercury_Mercury,+4-6
Suvarnangi,Cancer,Neptune_Mars,-5-6
Suvarnangi,Leo,Hygiea_Mars,+1+2+6
Syamalangi,Pisces,Saturn_Sun,+2-5
Syamalangi,Taurus,Saturn_Sun,+1-3-4-7
Tanarupi,Leo,Mercury_Mercury,x1+2-5
Tanarupi,Libra,Mercury_Mercury,+1+7-3-4
Vachaspati,Cancer,Saturn_Moon,-3
Vachaspati,Libra,Saturn_Moon,+4+5
Vachaspati,Sagittarius,Saturn_Moon,+4-7
Vachaspati,Taurus,Saturn_Moon,+1
Vagadheeswari,Libra,Sun_Jupiter,+3+4
Vagadheeswari,Taurus,Sun_Jupiter,+6
Vakulabharanam,Leo,Sun_Mercury,+5
Vanaspati,Leo,Chiron_Mercury,+1-5
Vanaspati,Libra,Chiron_Mercury,-3-4
Vanaspati,Taurus,Chiron_Mercury,-6bb7
Varunapriya,Cancer,Mercury_Chiron,+2-6-7
Varunapriya,Libra,Mercury_Chiron,+1+7
Varunapriya,Sagittarius,Mercury_Chiron,-3+6
Varunapriya,Taurus,Mercury_Chiron,+3+4-7
Viswambhari,Cancer,Pluto_Mars,+2-5
Viswambhari,Taurus,Pluto_Mars,+1+3+4-6
Yagapriya,Pisces,Neptune_Venus,+1+7-5
Yagapriya,Taurus,Neptune_Venus,-3-4+6

